item_id,cpse,cluster_id,raw_description,location,stock_qty,unit_price_inr,target_unspsc
BPCL-100057,BPCL,19,VALVE GLOBE 100NB 800LB CAST CS BUTTWELD,Bina Refinery,83,50670,40141612
ONGC-100058,ONGC,20,VALVE-CHECK-BW-4IN-CL300-WCB,Uran Trombay,13,37132,40141604
IOCL-100059,IOCL,20,"VALVE CHECK, 4"", 300#, ASTM A216 WCB, BW ENDS",Paradip,85,38010,40141604
BPCL-100060,BPCL,20,VALVE CHECK 100NB 300LBS CAST CS BUTTWELD,Bina Refinery,36,36285,40141604
ONGC-100061,ONGC,21,VALVE-BALL-BW-2IN-CL800-A105,Ankleshwar,21,47516,40141607
IOCL-100062,IOCL,21,"VALVE BALL, 2"", 800#, ASTM A105, BW ENDS",Mathura Refinery,18,45621,40141607
BPCL-100063,BPCL,21,VALVE BALL 50NB 800LB FORGED CS BUTTWELD,Bina Refinery,84,43203,40141607
ONGC-100064,ONGC,22,VALVE-GATE-BW-2IN-CL800-SS304,Uran Trombay,144,58944,40141611
IOCL-100065,IOCL,22,"VALVE GATE, 2"", 800#, 304SS, BW ENDS",Panipat Refinery,53,59765,40141611
BPCL-100066,BPCL,22,VALVE GATE 50NB 800LB SS304 BUTTWELD,Kochi Refinery,76,62217,40141611
ONGC-100067,ONGC,23,VALVE-CHECK-BW-1IN-CL150-SS316,Mumbai High Offshore,70,37938,40141604
IOCL-100068,IOCL,23,"VALVE CHECK, 1"", 150#, AISI 316, BW ENDS",Mathura Refinery,27,37612,40141604
BPCL-100069,BPCL,23,VALVE CHECK 25NB 150LBS 316SS BUTTWELD,Mumbai Refinery,136,36389,40141604
ONGC-100070,ONGC,24,VALVE-GATE-BW-1IN-CL800-SS316,Hazira Plant,80,59129,40141611
IOCL-100071,IOCL,24,"VALVE GATE, 1"", 800#, AISI 316, BW ENDS",Paradip,61,60964,40141611
BPCL-100072,BPCL,24,VALVE GATE 25NB 800LB 316SS BUTTWELD,Mumbai Refinery,53,59144,40141611
ONGC-100073,ONGC,25,VALVE-CHECK-RF-2IN-CL600-WCB,Mumbai High Offshore,110,37117,40141604
IOCL-100074,IOCL,25,"VALVE CHECK, 2"", 600#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,96,38464,40141604
BPCL-100075,BPCL,25,VALVE CHECK 50NB 600LBS CAST CS RAISED FACE,Kochi Refinery,82,39970,40141604
ONGC-100076,ONGC,26,VALVE-BALL-BW-1IN-CL600-SS316,Mumbai High Offshore,47,44973,40141607
IOCL-100077,IOCL,26,"VALVE BALL, 1"", 600#, AISI 316, BW ENDS",Paradip,69,43676,40141607
BPCL-100078,BPCL,26,VALVE BALL 25NB 600LBS 316SS BUTTWELD,Mumbai Refinery,59,46282,40141607
ONGC-100079,ONGC,27,VALVE-GLOBE-RF-2IN-CL300-SS316,Hazira Plant,66,54942,40141612
IOCL-100080,IOCL,27,"VALVE GLOBE, 2"", 300#, AISI 316, FLGD RF",Panipat Refinery,51,50446,40141612
BPCL-100081,BPCL,27,VALVE GLOBE 50NB 300LBS 316SS RAISED FACE,Bina Refinery,91,52853,40141612
ONGC-100082,ONGC,28,GASKET-SPIRAL-WOUND-BW-2IN-CL150-A105,Hazira Plant,137,2685,31181504
IOCL-100083,IOCL,28,"GASKET SPIRAL WOUND, 2"", 150#, ASTM A105, BW ENDS",Paradip,70,5892,31181504
BPCL-100084,BPCL,28,GASKET SPIRAL WOUND 50NB 150LBS FORGED CS BUTTWELD,Mumbai Refinery,10,4164,31181504
ONGC-100085,ONGC,29,VALVE-CHECK-RF-4IN-CL300-SS304,Mumbai High Offshore,42,36014,40141604
IOCL-100086,IOCL,29,"VALVE CHECK, 4"", 300#, 304SS, FLGD RF",Gujarat Refinery,103,36866,40141604
BPCL-100087,BPCL,29,VALVE CHECK 100NB 300LBS SS304 RAISED FACE,Kochi Refinery,51,40532,40141604
ONGC-100088,ONGC,30,VALVE-GATE-RF-1/2IN-CL600-SS304,Hazira Plant,122,61979,40141611
IOCL-100089,IOCL,30,"VALVE GATE, 1/2"", 600#, 304SS, FLGD RF",Panipat Refinery,8,62115,40141611
BPCL-100090,BPCL,30,VALVE GATE DN15 600LBS SS304 RAISED FACE,Mumbai Refinery,143,58107,40141611
ONGC-100091,ONGC,31,VALVE-BALL-RF-4IN-CL800-A105,Hazira Plant,11,46904,40141607
IOCL-100092,IOCL,31,"VALVE BALL, 4"", 800#, ASTM A105, FLGD RF",Paradip,46,44606,40141607
BPCL-100093,BPCL,31,VALVE BALL 100NB 800LB FORGED CS RAISED FACE,Bina Refinery,76,46923,40141607
ONGC-100094,ONGC,32,VALVE-CHECK-BW-6IN-CL300-A105,Hazira Plant,91,40741,40141604
IOCL-100095,IOCL,32,"VALVE CHECK, 6"", 300#, ASTM A105, BW ENDS",Paradip,123,39209,40141604
BPCL-100096,BPCL,32,VALVE CHECK 150MM 300LBS FORGED CS BUTTWELD,Bina Refinery,41,38655,40141604
ONGC-100097,ONGC,33,VALVE-GLOBE-BW-1IN-CL300-WCB,Ankleshwar,96,53841,40141612
IOCL-100098,IOCL,33,"VALVE GLOBE, 1"", 300#, ASTM A216 WCB, BW ENDS",Panipat Refinery,59,51206,40141612
BPCL-100099,BPCL,33,VALVE GLOBE 25NB 300LBS CAST CS BUTTWELD,Mumbai Refinery,106,51348,40141612
ONGC-100100,ONGC,34,VALVE-GATE-BW-1IN-CL150-SS304,Hazira Plant,68,61104,40141611
IOCL-100101,IOCL,34,"VALVE GATE, 1"", 150#, 304SS, BW ENDS",Panipat Refinery,147,61008,40141611
BPCL-100102,BPCL,34,VALVE GATE 25NB 150LBS SS304 BUTTWELD,Bina Refinery,95,58262,40141611
ONGC-100103,ONGC,35,VALVE-CHECK-BW-1/2IN-CL800-WCB,Uran Trombay,16,40103,40141604
IOCL-100104,IOCL,35,"VALVE CHECK, 1/2"", 800#, ASTM A216 WCB, BW ENDS",Panipat Refinery,59,36895,40141604
BPCL-100105,BPCL,35,VALVE CHECK DN15 800LB CAST CS BUTTWELD,Mumbai Refinery,103,39576,40141604
ONGC-100106,ONGC,36,GASKET-SPIRAL-WOUND-BW-8IN-CL300-WCB,Ankleshwar,2,1913,31181504
IOCL-100107,IOCL,36,"GASKET SPIRAL WOUND, 8"", 300#, ASTM A216 WCB, BW ENDS",Mathura Refinery,108,4414,31181504
BPCL-100108,BPCL,36,GASKET SPIRAL WOUND 200NB 300LBS CAST CS BUTTWELD,Bina Refinery,109,2862,31181504
ONGC-100109,ONGC,37,GASKET-SPIRAL-WOUND-RF-2IN-CL600-SS304,Uran Trombay,79,3625,31181504
IOCL-100110,IOCL,37,"GASKET SPIRAL WOUND, 2"", 600#, 304SS, FLGD RF",Gujarat Refinery,79,3265,31181504
BPCL-100111,BPCL,37,GASKET SPIRAL WOUND 50NB 600LBS SS304 RAISED FACE,Mumbai Refinery,15,4413,31181504
ONGC-100112,ONGC,38,VALVE-BALL-RF-1IN-CL150-WCB,Hazira Plant,137,43724,40141607
IOCL-100113,IOCL,38,"VALVE BALL, 1"", 150#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,53,43789,40141607
BPCL-100114,BPCL,38,VALVE BALL 25NB 150LBS CAST CS RAISED FACE,Bina Refinery,110,46556,40141607
ONGC-100115,ONGC,39,VALVE-GATE-RF-4IN-CL800-SS304,Ankleshwar,25,59711,40141611
IOCL-100116,IOCL,39,"VALVE GATE, 4"", 800#, 304SS, FLGD RF",Panipat Refinery,67,60331,40141611
BPCL-100117,BPCL,39,VALVE GATE 100NB 800LB SS304 RAISED FACE,Kochi Refinery,111,58891,40141611
ONGC-100118,ONGC,40,VALVE-GLOBE-BW-1IN-CL150-SS304,Hazira Plant,90,54639,40141612
IOCL-100119,IOCL,40,"VALVE GLOBE, 1"", 150#, 304SS, BW ENDS",Gujarat Refinery,16,50296,40141612
BPCL-100120,BPCL,40,VALVE GLOBE 25NB 150LBS SS304 BUTTWELD,Mumbai Refinery,131,53420,40141612
ONGC-100121,ONGC,41,VALVE-CHECK-BW-2IN-CL800-SS316,Mumbai High Offshore,83,39279,40141604
IOCL-100122,IOCL,41,"VALVE CHECK, 2"", 800#, AISI 316, BW ENDS",Panipat Refinery,53,37249,40141604
BPCL-100123,BPCL,41,VALVE CHECK 50NB 800LB 316SS BUTTWELD,Kochi Refinery,72,36917,40141604
ONGC-100124,ONGC,42,VALVE-BALL-BW-6IN-CL600-WCB,Hazira Plant,46,47169,40141607
IOCL-100125,IOCL,42,"VALVE BALL, 6"", 600#, ASTM A216 WCB, BW ENDS",Gujarat Refinery,19,45639,40141607
BPCL-100126,BPCL,42,VALVE BALL 150MM 600LBS CAST CS BUTTWELD,Kochi Refinery,4,46335,40141607
ONGC-100127,ONGC,43,FLANGE-WELD-NECK-RF-6IN-CL150-A105,Mumbai High Offshore,36,12515,40173308
IOCL-100128,IOCL,43,"FLANGE WELD NECK, 6"", 150#, ASTM A105, FLGD RF",Panipat Refinery,88,10240,40173308
BPCL-100129,BPCL,43,FLANGE WELD NECK 150MM 150LBS FORGED CS RAISED FACE,Bina Refinery,59,12594,40173308
ONGC-100130,ONGC,44,VALVE-BALL-BW-1/2IN-CL300-SS316,Ankleshwar,111,43087,40141607
IOCL-100131,IOCL,44,"VALVE BALL, 1/2"", 300#, AISI 316, BW ENDS",Panipat Refinery,50,44024,40141607
BPCL-100132,BPCL,44,VALVE BALL DN15 300LBS 316SS BUTTWELD,Mumbai Refinery,25,46029,40141607
ONGC-100133,ONGC,45,FLANGE-WELD-NECK-BW-2IN-CL800-WCB,Hazira Plant,74,14611,40173308
IOCL-100134,IOCL,45,"FLANGE WELD NECK, 2"", 800#, ASTM A216 WCB, BW ENDS",Paradip,133,10010,40173308
BPCL-100135,BPCL,45,FLANGE WELD NECK 50NB 800LB CAST CS BUTTWELD,Mumbai Refinery,59,11971,40173308
ONGC-100136,ONGC,46,VALVE-GLOBE-BW-1/2IN-CL800-SS304,Hazira Plant,44,52788,40141612
IOCL-100137,IOCL,46,"VALVE GLOBE, 1/2"", 800#, 304SS, BW ENDS",Mathura Refinery,129,50272,40141612
BPCL-100138,BPCL,46,VALVE GLOBE DN15 800LB SS304 BUTTWELD,Bina Refinery,20,52580,40141612
ONGC-100139,ONGC,47,VALVE-BALL-BW-1IN-CL300-SS316,Ankleshwar,61,44555,40141607
IOCL-100140,IOCL,47,"VALVE BALL, 1"", 300#, AISI 316, BW ENDS",Paradip,72,43929,40141607
BPCL-100141,BPCL,47,VALVE BALL 25NB 300LBS 316SS BUTTWELD,Mumbai Refinery,130,47945,40141607
ONGC-100142,ONGC,48,VALVE-BALL-BW-4IN-CL800-SS316,Hazira Plant,146,43601,40141607
IOCL-100143,IOCL,48,"VALVE BALL, 4"", 800#, AISI 316, BW ENDS",Gujarat Refinery,47,45383,40141607
BPCL-100144,BPCL,48,VALVE BALL 100NB 800LB 316SS BUTTWELD,Mumbai Refinery,51,45302,40141607
ONGC-100145,ONGC,49,VALVE-GLOBE-RF-1IN-CL300-WCB,Mumbai High Offshore,9,52580,40141612
IOCL-100146,IOCL,49,"VALVE GLOBE, 1"", 300#, ASTM A216 WCB, FLGD RF",Paradip,58,52819,40141612
BPCL-100147,BPCL,49,VALVE GLOBE 25NB 300LBS CAST CS RAISED FACE,Bina Refinery,134,54684,40141612
ONGC-100148,ONGC,50,GASKET-SPIRAL-WOUND-BW-4IN-CL150-A105,Mumbai High Offshore,133,5390,31181504
IOCL-100149,IOCL,50,"GASKET SPIRAL WOUND, 4"", 150#, ASTM A105, BW ENDS",Mathura Refinery,75,2145,31181504
BPCL-100150,BPCL,50,GASKET SPIRAL WOUND 100NB 150LBS FORGED CS BUTTWELD,Mumbai Refinery,131,3990,31181504
ONGC-100151,ONGC,51,VALVE-GATE-RF-1/2IN-CL600-A105,Hazira Plant,123,59967,40141611
IOCL-100152,IOCL,51,"VALVE GATE, 1/2"", 600#, ASTM A105, FLGD RF",Mathura Refinery,18,62410,40141611
BPCL-100153,BPCL,51,VALVE GATE DN15 600LBS FORGED CS RAISED FACE,Bina Refinery,119,59727,40141611
ONGC-100154,ONGC,52,FLANGE-WELD-NECK-BW-1/2IN-CL150-SS304,Hazira Plant,1,13117,40173308
IOCL-100155,IOCL,52,"FLANGE WELD NECK, 1/2"", 150#, 304SS, BW ENDS",Paradip,132,13324,40173308
BPCL-100156,BPCL,52,FLANGE WELD NECK DN15 150LBS SS304 BUTTWELD,Kochi Refinery,11,11739,40173308
ONGC-100157,ONGC,53,VALVE-GLOBE-BW-8IN-CL800-A105,Uran Trombay,117,52176,40141612
IOCL-100158,IOCL,53,"VALVE GLOBE, 8"", 800#, ASTM A105, BW ENDS",Gujarat Refinery,3,53631,40141612
BPCL-100159,BPCL,53,VALVE GLOBE 200NB 800LB FORGED CS BUTTWELD,Bina Refinery,13,50786,40141612
ONGC-100160,ONGC,54,VALVE-GATE-RF-6IN-CL300-WCB,Mumbai High Offshore,16,61140,40141611
IOCL-100161,IOCL,54,"VALVE GATE, 6"", 300#, ASTM A216 WCB, FLGD RF",Panipat Refinery,15,59672,40141611
BPCL-100162,BPCL,54,VALVE GATE 150MM 300LBS CAST CS RAISED FACE,Bina Refinery,19,59544,40141611
ONGC-100163,ONGC,55,VALVE-CHECK-BW-6IN-CL800-SS304,Ankleshwar,62,38229,40141604
IOCL-100164,IOCL,55,"VALVE CHECK, 6"", 800#, 304SS, BW ENDS",Mathura Refinery,100,36456,40141604
BPCL-100165,BPCL,55,VALVE CHECK 150MM 800LB SS304 BUTTWELD,Kochi Refinery,25,38815,40141604
ONGC-100166,ONGC,56,VALVE-GLOBE-BW-4IN-CL600-SS304,Hazira Plant,114,51715,40141612
IOCL-100167,IOCL,56,"VALVE GLOBE, 4"", 600#, 304SS, BW ENDS",Gujarat Refinery,71,51312,40141612
BPCL-100168,BPCL,56,VALVE GLOBE 100NB 600LBS SS304 BUTTWELD,Kochi Refinery,42,54885,40141612
ONGC-100169,ONGC,57,VALVE-GATE-RF-3IN-CL600-A105,Mumbai High Offshore,8,59833,40141611
IOCL-100170,IOCL,57,"VALVE GATE, 3"", 600#, ASTM A105, FLGD RF",Gujarat Refinery,85,58208,40141611
BPCL-100171,BPCL,57,VALVE GATE DN80 600LBS FORGED CS RAISED FACE,Mumbai Refinery,120,61281,40141611
ONGC-100172,ONGC,58,VALVE-GATE-RF-8IN-CL300-A105,Mumbai High Offshore,16,62898,40141611
IOCL-100173,IOCL,58,"VALVE GATE, 8"", 300#, ASTM A105, FLGD RF",Paradip,140,62905,40141611
BPCL-100174,BPCL,58,VALVE GATE 200NB 300LBS FORGED CS RAISED FACE,Bina Refinery,120,62257,40141611
ONGC-100175,ONGC,59,GASKET-SPIRAL-WOUND-RF-4IN-CL150-SS316,Uran Trombay,38,6469,31181504
IOCL-100176,IOCL,59,"GASKET SPIRAL WOUND, 4"", 150#, AISI 316, FLGD RF",Paradip,138,5877,31181504
BPCL-100177,BPCL,59,GASKET SPIRAL WOUND 100NB 150LBS 316SS RAISED FACE,Kochi Refinery,32,4692,31181504
ONGC-100178,ONGC,60,VALVE-CHECK-RF-1IN-CL800-SS316,Mumbai High Offshore,112,36487,40141604
IOCL-100179,IOCL,60,"VALVE CHECK, 1"", 800#, AISI 316, FLGD RF",Paradip,100,39880,40141604
BPCL-100180,BPCL,60,VALVE CHECK 25NB 800LB 316SS RAISED FACE,Kochi Refinery,44,36340,40141604
ONGC-100181,ONGC,61,VALVE-GATE-BW-1IN-CL300-A105,Hazira Plant,143,59982,40141611
IOCL-100182,IOCL,61,"VALVE GATE, 1"", 300#, ASTM A105, BW ENDS",Mathura Refinery,85,58764,40141611
BPCL-100183,BPCL,61,VALVE GATE 25NB 300LBS FORGED CS BUTTWELD,Kochi Refinery,80,62708,40141611
ONGC-100184,ONGC,62,FLANGE-WELD-NECK-RF-8IN-CL300-WCB,Mumbai High Offshore,4,10474,40173308
IOCL-100185,IOCL,62,"FLANGE WELD NECK, 8"", 300#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,65,12926,40173308
BPCL-100186,BPCL,62,FLANGE WELD NECK 200NB 300LBS CAST CS RAISED FACE,Kochi Refinery,20,10690,40173308
ONGC-100187,ONGC,63,FLANGE-WELD-NECK-BW-3IN-CL800-WCB,Uran Trombay,124,10363,40173308
IOCL-100188,IOCL,63,"FLANGE WELD NECK, 3"", 800#, ASTM A216 WCB, BW ENDS",Panipat Refinery,53,10275,40173308
BPCL-100189,BPCL,63,FLANGE WELD NECK DN80 800LB CAST CS BUTTWELD,Kochi Refinery,50,12993,40173308
ONGC-100190,ONGC,64,VALVE-BALL-RF-4IN-CL300-WCB,Uran Trombay,22,47501,40141607
IOCL-100191,IOCL,64,"VALVE BALL, 4"", 300#, ASTM A216 WCB, FLGD RF",Mathura Refinery,44,46323,40141607
BPCL-100192,BPCL,64,VALVE BALL 100NB 300LBS CAST CS RAISED FACE,Kochi Refinery,115,43103,40141607
ONGC-100193,ONGC,65,FLANGE-WELD-NECK-RF-6IN-CL150-A105,Hazira Plant,86,12197,40173308
IOCL-100194,IOCL,65,"FLANGE WELD NECK, 6"", 150#, ASTM A105, FLGD RF",Paradip,115,10297,40173308
BPCL-100195,BPCL,65,FLANGE WELD NECK 150MM 150LBS FORGED CS RAISED FACE,Bina Refinery,72,14020,40173308
ONGC-100196,ONGC,66,FLANGE-WELD-NECK-BW-4IN-CL800-SS316,Uran Trombay,31,10602,40173308
IOCL-100197,IOCL,66,"FLANGE WELD NECK, 4"", 800#, AISI 316, BW ENDS",Panipat Refinery,6,13044,40173308
BPCL-100198,BPCL,66,FLANGE WELD NECK 100NB 800LB 316SS BUTTWELD,Kochi Refinery,31,13665,40173308
ONGC-100199,ONGC,67,GASKET-SPIRAL-WOUND-BW-3IN-CL600-WCB,Uran Trombay,110,4759,31181504
IOCL-100200,IOCL,67,"GASKET SPIRAL WOUND, 3"", 600#, ASTM A216 WCB, BW ENDS",Panipat Refinery,44,5320,31181504
BPCL-100201,BPCL,67,GASKET SPIRAL WOUND DN80 600LBS CAST CS BUTTWELD,Kochi Refinery,113,3251,31181504
ONGC-100202,ONGC,68,FLANGE-WELD-NECK-BW-4IN-CL150-WCB,Hazira Plant,31,14129,40173308
IOCL-100203,IOCL,68,"FLANGE WELD NECK, 4"", 150#, ASTM A216 WCB, BW ENDS",Mathura Refinery,128,10360,40173308
BPCL-100204,BPCL,68,FLANGE WELD NECK 100NB 150LBS CAST CS BUTTWELD,Bina Refinery,12,10688,40173308
ONGC-100205,ONGC,69,VALVE-BALL-RF-1IN-CL600-A105,Ankleshwar,8,46570,40141607
IOCL-100206,IOCL,69,"VALVE BALL, 1"", 600#, ASTM A105, FLGD RF",Gujarat Refinery,24,45365,40141607
BPCL-100207,BPCL,69,VALVE BALL 25NB 600LBS FORGED CS RAISED FACE,Kochi Refinery,80,46027,40141607
ONGC-100208,ONGC,70,VALVE-GLOBE-BW-6IN-CL600-WCB,Uran Trombay,47,53431,40141612
IOCL-100209,IOCL,70,"VALVE GLOBE, 6"", 600#, ASTM A216 WCB, BW ENDS",Gujarat Refinery,41,52989,40141612
BPCL-100210,BPCL,70,VALVE GLOBE 150MM 600LBS CAST CS BUTTWELD,Kochi Refinery,108,52148,40141612
ONGC-100211,ONGC,71,FLANGE-WELD-NECK-RF-3IN-CL600-A105,Mumbai High Offshore,2,11525,40173308
IOCL-100212,IOCL,71,"FLANGE WELD NECK, 3"", 600#, ASTM A105, FLGD RF",Paradip,41,12940,40173308
BPCL-100213,BPCL,71,FLANGE WELD NECK DN80 600LBS FORGED CS RAISED FACE,Mumbai Refinery,2,10943,40173308
ONGC-100214,ONGC,72,VALVE-BALL-BW-1IN-CL300-SS304,Mumbai High Offshore,30,46716,40141607
IOCL-100215,IOCL,72,"VALVE BALL, 1"", 300#, 304SS, BW ENDS",Paradip,84,45114,40141607
BPCL-100216,BPCL,72,VALVE BALL 25NB 300LBS SS304 BUTTWELD,Bina Refinery,143,47139,40141607
ONGC-100217,ONGC,73,VALVE-CHECK-BW-3IN-CL300-A105,Uran Trombay,22,40714,40141604
IOCL-100218,IOCL,73,"VALVE CHECK, 3"", 300#, ASTM A105, BW ENDS",Mathura Refinery,115,36567,40141604
BPCL-100219,BPCL,73,VALVE CHECK DN80 300LBS FORGED CS BUTTWELD,Bina Refinery,103,36771,40141604
ONGC-100220,ONGC,74,VALVE-BALL-BW-6IN-CL150-WCB,Hazira Plant,127,43738,40141607
IOCL-100221,IOCL,74,"VALVE BALL, 6"", 150#, ASTM A216 WCB, BW ENDS",Gujarat Refinery,10,44664,40141607
